id;deployment_date;status;logs;addendum
1;2025-09-13T18:18:21;FAILED;../fake-data/blob/hipster.txt;fuss mostly alongside
2;2025-09-13T15:35:03;FAILED;../fake-data/blob/hipster.txt;if
3;2025-09-13T17:25:00;FAILED;../fake-data/blob/hipster.txt;joyful restfully mothball
4;2025-09-14T03:43:01;IN_PROGRESS;../fake-data/blob/hipster.txt;yowza
5;2025-09-13T23:44:00;IN_PROGRESS;../fake-data/blob/hipster.txt;pfft boohoo um
6;2025-09-14T03:11:31;SUCCESS;../fake-data/blob/hipster.txt;upward retract er
7;2025-09-14T08:34:52;SUCCESS;../fake-data/blob/hipster.txt;warmly
8;2025-09-13T15:31:40;SUCCESS;../fake-data/blob/hipster.txt;fairly uncover ew
9;2025-09-14T05:37:45;FAILED;../fake-data/blob/hipster.txt;rotten mentor
10;2025-09-14T12:20:56;FAILED;../fake-data/blob/hipster.txt;goat entomb deep
