id;name;description;status;priority;start_date;end_date;created_date;last_modified_date;addendum
1;trek;as;ARCHIVED;MEDIUM;2025-09-14T00:33:34;2025-09-13T18:09:39;2025-09-13T19:52:10;2025-09-13T22:56:28;greatly cannon
2;usefully sticker;when near yearly;NEW;HIGH;2025-09-14T02:20:09;2025-09-14T04:36:21;2025-09-14T14:13:36;2025-09-14T02:06:43;now at separately
3;what geez pish;outside both;COMPLETED;MEDIUM;2025-09-14T06:39:54;2025-09-14T14:05:36;2025-09-14T07:46:15;2025-09-13T22:22:02;at smuggle
4;scarily openly;sans helpfully;COMPLETED;MEDIUM;2025-09-13T15:38:09;2025-09-13T14:56:15;2025-09-14T03:14:42;2025-09-14T07:06:47;oh access
5;glossy;so instead;IN_PROGRESS;CRITICAL;2025-09-13T15:25:32;2025-09-13T19:53:46;2025-09-13T16:48:11;2025-09-14T03:55:40;worth mountain excepting
6;apropos until however;lest continually patiently;IN_PROGRESS;LOW;2025-09-14T08:22:17;2025-09-14T05:08:58;2025-09-14T13:10:05;2025-09-13T16:33:17;interestingly who
7;fiercely;during like;ARCHIVED;CRITICAL;2025-09-13T19:15:28;2025-09-13T21:06:06;2025-09-13T21:58:58;2025-09-14T11:20:44;inconsequential
8;entry;unlike;NEW;HIGH;2025-09-14T07:50:26;2025-09-13T15:33:31;2025-09-14T10:13:51;2025-09-14T06:43:22;reboot
9;squiggly present viciously;upright till inasmuch;NEW;HIGH;2025-09-13T20:59:35;2025-09-13T19:23:09;2025-09-13T21:00:01;2025-09-14T00:25:52;oof
10;dissemble neat every;oh yippee towards;ARCHIVED;HIGH;2025-09-14T12:11:01;2025-09-14T01:06:24;2025-09-14T05:27:07;2025-09-13T18:12:58;that
